county,agencies,year,crimespercop,crimetotal,violenttotal,murder,rape,robbery,aggravatedassault,propertytotal,burglary,larceny,vehicletheft,pdcount,swornfulltime,policegrandtotal
Schoharie,3,2016,3.4912,199,6,0,4,1,1,193,26,165,2,3,29,57
Schuyler,2,2016,2.1860,94,10,0,1,0,9,84,18,65,1,2,21,43
Seneca,4,2016,4.8600,486,38,0,9,1,28,448,72,367,9,4,56,100
"St Lawrence",8,2016,6.8528,1117,80,1,14,16,49,1037,172,855,10,8,103,163
Steuben,9,2016,4.8376,953,107,0,30,10,67,846,144,693,9,9,100,197
Suffolk,20,2016,4.6444,21773,1760,33,128,566,1033,20013,2031,16828,1154,20,3249,4688
Sullivan,5,2016,7.4224,861,103,3,11,21,68,758,177,560,21,5,99,116
Tioga,3,2016,3.8065,354,39,1,7,3,28,315,66,233,16,3,51,93
Tompkins,8,2016,4.8435,1516,99,2,27,20,50,1417,146,1247,24,8,178,313
Ulster,15,2016,2.8787,2113,216,4,30,34,148,1897,291,1547,59,15,443,734
Warren,3,2016,5.1271,928,78,1,22,8,47,850,113,733,4,3,94,181
Washington,7,2016,2.4731,413,59,0,32,5,22,354,68,279,7,7,81,167
