county,agencies,year,population,crimesperthousand,index_total,violentperthousand,violent_total,murderperthousand,murder,"rapeperperson * 1000",rape,robberyperthousand,robbery,aggravated_assaultperthousand,aggravated_assault,propertyperthousand,property_total,burglaryperthousand,burglary,larcenyperthousand,larceny,vehicletheftperthousand,motor_vehicle_theft
Yates,90,1990,22810,800.2000,507,53.7000,34,0.0000,0,7.9000,5,0.0000,0,45.8000,29,746.5000,473,164.1000,104,569.8000,361,12.6000,8
Albany,171,1991,295530,926.8000,7569,101.7000,1201,0.8000,11,5.5000,71,35.4000,487,60.0000,632,825.2000,6368,198.8000,1988,580.9000,3878,45.5000,502
Allegany,90,1991,50935,500.8000,170,47.4000,11,0.4000,0,3.2000,0,1.1000,0,42.8000,11,453.4000,159,150.2000,34,291.2000,119,12.0000,6
Bronx,9,1991,1214835,741.4000,100071,248.3000,33515,4.1000,552,4.5000,601,133.9000,18074,105.9000,14288,493.1000,66556,136.8000,18463,203.8000,27506,152.5000,20587
Broome,108,1991,212820,629.9000,2589,28.7000,94,0.4000,2,5.1000,29,5.1000,34,18.1000,29,601.2000,2495,105.5000,287,471.7000,2141,24.0000,67
Cattaraugus,99,1991,84961,559.1000,80,57.8000,28,0.2000,0,4.2000,1,2.1000,0,51.3000,27,501.3000,52,118.6000,11,368.6000,40,14.0000,1
Cayuga,81,1991,82880,554.7000,1318,46.9000,55,0.7000,0,3.7000,7,6.1000,17,36.5000,31,507.8000,1263,106.9000,168,390.1000,1091,10.9000,4
Chautauqua,117,1991,142680,690.3000,27,28.6000,6,0.5000,0,3.0000,2,5.4000,0,19.7000,4,661.7000,21,144.4000,7,502.2000,14,15.0000,0
Chemung,90,1991,95001,793.9000,4,48.5000,0,0.2000,0,3.8000,0,8.7000,0,35.8000,0,745.4000,4,141.9000,0,590.0000,4,13.5000,0
Chenango,90,1991,52160,428.9000,38,33.5000,4,0.0000,0,3.1000,2,0.3000,0,30.0000,2,395.5000,34,113.2000,5,273.3000,25,9.0000,4
Clinton,81,1991,86086,526.1000,1,56.2000,0,0.2000,0,3.6000,0,1.3000,0,51.2000,0,469.8000,1,109.8000,0,351.3000,1,8.8000,0
Columbia,99,1991,62967,664.1000,170,103.8000,26,0.3000,0,2.3000,0,8.9000,0,92.3000,26,560.3000,144,159.8000,22,380.8000,119,19.7000,3
Cortland,63,1991,49280,801.0000,1152,30.3000,28,0.4000,1,6.2000,10,4.0000,8,19.7000,9,770.7000,1124,131.5000,180,620.2000,917,19.0000,27
Delaware,99,1991,47733,453.3000,7,28.3000,0,0.8000,0,0.8000,0,1.1000,0,25.6000,0,425.0000,7,156.1000,1,257.2000,6,11.7000,0
Dutchess,153,1991,261952,634.9000,516,66.9000,131,0.9000,1,3.2000,0,18.5000,17,44.3000,113,568.0000,385,131.1000,168,408.2000,183,28.7000,34
Erie,261,1991,973280,1024.8000,16,153.1000,4,1.1000,0,7.1000,0,56.1000,0,88.8000,4,871.8000,12,229.5000,0,522.7000,11,119.5000,1
Essex,54,1991,37593,430.5000,899,39.3000,82,0.0000,0,1.0000,2,1.0000,2,37.3000,78,391.2000,817,128.8000,269,252.3000,527,10.1000,21
Franklin,45,1991,47886,431.1000,1147,74.1000,197,0.4000,1,2.3000,6,3.0000,8,68.4000,182,357.1000,950,113.5000,302,235.3000,626,8.3000,22
Fulton,54,1991,54744,740.5000,2252,40.4000,123,0.3000,1,2.0000,6,5.3000,16,32.9000,100,700.0000,2129,161.1000,490,519.8000,1581,19.1000,58
Genesee,63,1991,60529,521.0000,802,31.8000,13,0.6000,1,3.0000,2,3.6000,6,24.7000,4,489.2000,789,98.4000,101,376.2000,684,14.6000,4
Greene,90,1991,45298,646.1000,53,87.8000,6,2.0000,0,1.6000,0,2.0000,0,82.3000,6,558.3000,47,195.1000,13,340.5000,30,22.7000,4
Hamilton,36,1991,5362,530.4000,158,33.6000,10,0.0000,0,0.0000,0,0.0000,0,33.6000,10,496.8000,148,194.7000,58,292.1000,87,10.1000,3
Herkimer,108,1991,66344,436.3000,1608,28.2000,104,0.3000,1,2.2000,8,4.9000,18,20.9000,77,408.1000,1504,106.4000,392,294.9000,1087,6.8000,25
Jefferson,144,1991,112911,510.5000,22,32.2000,2,0.3000,0,5.1000,0,2.6000,0,24.2000,2,478.3000,20,127.5000,7,341.8000,13,8.9000,0
Kings,9,1991,2312518,744.4000,191259,236.7000,60814,3.1000,786,4.0000,1039,135.9000,34915,93.7000,24074,507.7000,130445,140.1000,36004,198.4000,50983,169.1000,43458
Lewis,36,1991,27043,219.0000,329,10.6000,16,0.0000,0,0.0000,0,0.7000,1,10.0000,15,208.3000,313,77.9000,117,117.8000,177,12.6000,19
Livingston,99,1991,62631,550.1000,66,43.4000,3,0.0000,0,3.7000,0,2.6000,0,37.1000,3,506.7000,63,69.8000,9,427.6000,53,9.2000,1
Madison,90,1991,70021,475.8000,119,19.5000,2,0.0000,0,1.8000,1,1.3000,1,16.5000,0,456.3000,117,96.9000,22,348.8000,90,10.5000,5
Monroe,153,1991,721362,1094.4000,1307,71.3000,18,1.7000,0,5.4000,0,39.4000,15,24.8000,3,1023.1000,1289,208.0000,192,738.2000,1029,76.9000,68
Montgomery,63,1991,51896,386.7000,447,17.3000,11,1.0000,2,1.7000,0,3.1000,1,11.4000,8,369.4000,436,94.3000,153,261.9000,274,13.2000,9
Nassau,243,1991,1293072,601.6000,3,53.6000,0,0.6000,0,2.0000,0,25.1000,0,25.8000,0,548.1000,3,101.0000,0,326.2000,2,120.8000,1
"New York",9,1991,1483644,1268.9000,209177,250.0000,41209,2.9000,483,3.8000,629,150.6000,24829,92.6000,15268,1018.9000,167968,158.4000,26120,740.2000,122015,120.3000,19833
Niagara,90,1991,221712,825.3000,10165,75.5000,930,0.6000,8,6.4000,79,22.2000,274,46.2000,569,749.8000,9235,186.2000,2294,513.0000,6319,50.5000,622
Oneida,189,1991,253064,656.7000,27,34.8000,6,0.9000,0,4.1000,0,14.4000,0,15.4000,6,621.9000,21,148.7000,10,445.4000,9,27.9000,2
Onondaga,207,1991,472463,885.9000,218,73.0000,5,0.6000,0,5.1000,0,26.7000,2,40.6000,3,812.9000,213,187.7000,28,585.6000,176,39.6000,9
Ontario,81,1991,96514,489.6000,511,16.8000,21,0.2000,1,2.6000,4,3.5000,5,10.4000,11,472.8000,490,110.8000,68,350.6000,409,11.4000,13
Orange,333,1991,312038,646.5000,214,72.9000,9,0.7000,0,5.4000,2,19.0000,1,47.6000,6,573.6000,205,138.4000,82,409.0000,113,26.1000,10
Orleans,63,1991,42432,557.0000,292,64.1000,31,1.7000,1,1.3000,0,4.7000,4,56.4000,26,492.9000,261,115.0000,40,355.1000,216,22.9000,5
Oswego,108,1991,123134,523.9000,8,19.9000,2,0.3000,0,3.8000,0,2.6000,0,13.2000,2,504.0000,6,115.8000,0,372.0000,6,16.2000,0
Otsego,63,1991,60729,407.3000,65,18.4000,4,0.0000,0,1.5000,0,1.8000,0,15.1000,4,388.9000,61,106.7000,13,270.0000,44,12.2000,4
Putnam,81,1991,85488,388.1000,554,23.0000,12,0.0000,0,1.7000,1,3.2000,1,18.1000,10,365.1000,542,89.3000,112,249.7000,406,26.1000,24
Queens,9,1991,1975556,729.8000,160205,145.0000,31821,1.4000,303,2.6000,562,89.4000,19616,51.7000,11340,584.9000,128384,127.2000,27912,230.0000,50485,227.7000,49987
Rensselaer,108,1991,155039,638.5000,5500,53.3000,459,0.7000,6,3.4000,29,8.6000,74,40.6000,350,585.3000,5041,161.7000,1393,401.7000,3460,21.8000,188
Richmond,9,1991,387948,459.5000,19809,72.5000,3127,0.7000,30,1.5000,65,26.6000,1145,43.8000,1887,387.0000,16682,82.8000,3567,162.3000,6994,142.0000,6121
Rockland,144,1991,267800,531.7000,2576,52.9000,175,0.5000,1,2.7000,6,13.4000,32,36.4000,136,478.8000,2401,100.9000,485,344.9000,1733,33.0000,183
Saratoga,108,1991,184633,515.9000,220,54.4000,6,0.1000,0,2.6000,1,2.7000,0,48.9000,5,461.5000,214,100.1000,54,346.8000,150,14.6000,10
Schenectady,81,1991,150616,760.6000,6364,76.7000,642,0.4000,3,4.8000,40,20.6000,172,51.0000,427,683.8000,5722,171.4000,1434,477.4000,3995,35.0000,293
Schoharie,54,1991,32454,411.0000,205,31.6000,24,0.0000,0,6.1000,4,2.2000,2,23.3000,18,379.4000,181,131.4000,20,237.9000,158,10.0000,3
Schuyler,45,1991,18820,557.6000,583,28.7000,30,0.0000,0,5.7000,6,0.0000,0,23.0000,24,528.9000,553,137.7000,144,361.5000,378,29.6000,31
Seneca,54,1991,33768,430.7000,808,28.8000,54,0.5000,1,3.2000,6,0.5000,1,24.5000,46,401.9000,754,81.6000,153,304.9000,572,15.5000,29
Steuben,144,1991,99835,632.7000,101,36.1000,11,0.2000,0,2.3000,0,1.3000,0,32.3000,11,596.6000,90,127.8000,15,449.7000,73,19.1000,2
Suffolk,261,1991,1326777,918.4000,369,54.1000,37,0.6000,0,1.8000,0,24.9000,29,26.8000,8,864.3000,332,194.3000,52,543.2000,241,126.8000,39
Sullivan,90,1991,70347,826.2000,3229,86.5000,338,1.3000,5,4.3000,17,15.6000,61,65.2000,255,739.7000,2891,282.7000,1105,434.5000,1698,22.5000,88
Tioga,54,1991,52812,434.9000,1276,56.6000,166,0.0000,0,1.4000,4,2.7000,8,52.5000,154,378.3000,1110,117.2000,344,247.8000,727,13.3000,39
Tompkins,108,1991,95283,918.5000,80,34.4000,3,0.2000,0,7.9000,2,5.9000,0,20.4000,1,884.1000,77,181.4000,13,683.3000,64,19.5000,0
Ulster,198,1991,168869,552.6000,6,58.0000,0,0.5000,0,3.8000,0,7.2000,0,46.4000,0,494.6000,6,126.8000,0,342.7000,6,25.0000,0
Warren,45,1991,60166,814.0000,13,89.2000,0,0.3000,0,5.4000,0,1.8000,0,81.7000,0,724.9000,13,129.5000,7,581.3000,5,14.1000,1
Washington,99,1991,60120,449.7000,77,62.6000,4,0.9000,0,3.0000,0,0.9000,0,57.8000,4,387.1000,73,102.7000,13,269.5000,59,15.0000,1
Wayne,81,1991,90222,617.1000,112,39.3000,17,0.4000,0,4.0000,1,4.0000,0,30.9000,16,577.8000,95,133.9000,31,423.8000,63,20.2000,1
Westchester,423,1991,878615,760.4000,99,80.6000,16,0.7000,0,2.5000,1,41.7000,4,35.6000,11,679.9000,83,130.4000,13,420.2000,66,129.2000,4
Wyoming,72,1991,43163,508.8000,59,92.6000,6,0.4000,0,0.8000,0,2.1000,0,89.2000,6,416.2000,53,127.6000,22,269.4000,29,19.2000,2
Yates,36,1991,23087,528.6000,678,44.4000,57,0.0000,0,3.1000,4,0.0000,0,41.3000,53,484.2000,621,138.8000,178,326.7000,419,18.7000,24
Albany,171,1992,296913,967.6000,7791,95.7000,1150,0.7000,8,5.8000,77,33.6000,467,55.7000,598,871.9000,6641,208.5000,2246,615.0000,3858,48.3000,537
