county,agencies,year,population,crimesperperson,index_total,violentperperson,violent_total,murderperperson,murder,rapeperperson,rape,robberyperperson,robbery,aggravated_assaultperperson,aggravated_assault,propertyperperson,property_total,burglaryperperson,burglary,larcenyperperson,larceny,vehicletheftperperson,motor_vehicle_theft
Chemung,10,1991,95001,0.0882,4,0.0054,0,0.0000,0,0.0004,0,0.0010,0,0.0040,0,0.0828,4,0.0158,0,0.0656,4,0.0015,0
Chenango,10,1991,52160,0.0477,38,0.0037,4,0.0000,0,0.0003,2,0.0000,0,0.0033,2,0.0439,34,0.0126,5,0.0304,25,0.0010,4
Clinton,9,1991,86086,0.0585,1,0.0062,0,0.0000,0,0.0004,0,0.0001,0,0.0057,0,0.0522,1,0.0122,0,0.0390,1,0.0010,0
Columbia,11,1991,62967,0.0738,170,0.0115,26,0.0000,0,0.0003,0,0.0010,0,0.0103,26,0.0623,144,0.0178,22,0.0423,119,0.0022,3
Cortland,7,1991,49280,0.0890,1152,0.0034,28,0.0000,1,0.0007,10,0.0004,8,0.0022,9,0.0856,1124,0.0146,180,0.0689,917,0.0021,27
Delaware,11,1991,47733,0.0504,7,0.0031,0,0.0001,0,0.0001,0,0.0001,0,0.0028,0,0.0472,7,0.0173,1,0.0286,6,0.0013,0
Dutchess,17,1991,261952,0.0705,516,0.0074,131,0.0001,1,0.0004,0,0.0021,17,0.0049,113,0.0631,385,0.0146,168,0.0454,183,0.0032,34
Erie,29,1991,973280,0.1139,16,0.0170,4,0.0001,0,0.0008,0,0.0062,0,0.0099,4,0.0969,12,0.0255,0,0.0581,11,0.0133,1
Essex,6,1991,37593,0.0478,899,0.0044,82,0.0000,0,0.0001,2,0.0001,2,0.0041,78,0.0435,817,0.0143,269,0.0280,527,0.0011,21
Franklin,5,1991,47886,0.0479,1147,0.0082,197,0.0000,1,0.0003,6,0.0003,8,0.0076,182,0.0397,950,0.0126,302,0.0261,626,0.0009,22
Fulton,6,1991,54744,0.0823,2252,0.0045,123,0.0000,1,0.0002,6,0.0006,16,0.0037,100,0.0778,2129,0.0179,490,0.0578,1581,0.0021,58
Genesee,7,1991,60529,0.0579,802,0.0035,13,0.0001,1,0.0003,2,0.0004,6,0.0027,4,0.0544,789,0.0109,101,0.0418,684,0.0016,4
Greene,10,1991,45298,0.0718,53,0.0098,6,0.0002,0,0.0002,0,0.0002,0,0.0091,6,0.0620,47,0.0217,13,0.0378,30,0.0025,4
Hamilton,4,1991,5362,0.0589,158,0.0037,10,0.0000,0,0.0000,0,0.0000,0,0.0037,10,0.0552,148,0.0216,58,0.0325,87,0.0011,3
Herkimer,12,1991,66344,0.0485,1608,0.0031,104,0.0000,1,0.0002,8,0.0005,18,0.0023,77,0.0453,1504,0.0118,392,0.0328,1087,0.0008,25
Jefferson,16,1991,112911,0.0567,22,0.0036,2,0.0000,0,0.0006,0,0.0003,0,0.0027,2,0.0531,20,0.0142,7,0.0380,13,0.0010,0
Kings,1,1991,2312518,0.0827,191259,0.0263,60814,0.0003,786,0.0004,1039,0.0151,34915,0.0104,24074,0.0564,130445,0.0156,36004,0.0220,50983,0.0188,43458
Lewis,4,1991,27043,0.0243,329,0.0012,16,0.0000,0,0.0000,0,0.0001,1,0.0011,15,0.0231,313,0.0087,117,0.0131,177,0.0014,19
Livingston,11,1991,62631,0.0611,66,0.0048,3,0.0000,0,0.0004,0,0.0003,0,0.0041,3,0.0563,63,0.0078,9,0.0475,53,0.0010,1
Madison,10,1991,70021,0.0529,119,0.0022,2,0.0000,0,0.0002,1,0.0001,1,0.0018,0,0.0507,117,0.0108,22,0.0388,90,0.0012,5
Monroe,17,1991,721362,0.1216,1307,0.0079,18,0.0002,0,0.0006,0,0.0044,15,0.0028,3,0.1137,1289,0.0231,192,0.0820,1029,0.0085,68
Montgomery,7,1991,51896,0.0430,447,0.0019,11,0.0001,2,0.0002,0,0.0003,1,0.0013,8,0.0410,436,0.0105,153,0.0291,274,0.0015,9
Nassau,27,1991,1293072,0.0668,3,0.0060,0,0.0001,0,0.0002,0,0.0028,0,0.0029,0,0.0609,3,0.0112,0,0.0362,2,0.0134,1
"New York",1,1991,1483644,0.1410,209177,0.0278,41209,0.0003,483,0.0004,629,0.0167,24829,0.0103,15268,0.1132,167968,0.0176,26120,0.0822,122015,0.0134,19833
Niagara,10,1991,221712,0.0917,10165,0.0084,930,0.0001,8,0.0007,79,0.0025,274,0.0051,569,0.0833,9235,0.0207,2294,0.0570,6319,0.0056,622
Oneida,21,1991,253064,0.0730,27,0.0039,6,0.0001,0,0.0005,0,0.0016,0,0.0017,6,0.0691,21,0.0165,10,0.0495,9,0.0031,2
Onondaga,23,1991,472463,0.0984,218,0.0081,5,0.0001,0,0.0006,0,0.0030,2,0.0045,3,0.0903,213,0.0209,28,0.0651,176,0.0044,9
Ontario,9,1991,96514,0.0544,511,0.0019,21,0.0000,1,0.0003,4,0.0004,5,0.0012,11,0.0525,490,0.0123,68,0.0390,409,0.0013,13
Orange,37,1991,312038,0.0718,214,0.0081,9,0.0001,0,0.0006,2,0.0021,1,0.0053,6,0.0637,205,0.0154,82,0.0454,113,0.0029,10
Orleans,7,1991,42432,0.0619,292,0.0071,31,0.0002,1,0.0001,0,0.0005,4,0.0063,26,0.0548,261,0.0128,40,0.0395,216,0.0025,5
Oswego,12,1991,123134,0.0582,8,0.0022,2,0.0000,0,0.0004,0,0.0003,0,0.0015,2,0.0560,6,0.0129,0,0.0413,6,0.0018,0
Otsego,7,1991,60729,0.0453,65,0.0020,4,0.0000,0,0.0002,0,0.0002,0,0.0017,4,0.0432,61,0.0119,13,0.0300,44,0.0014,4
Putnam,9,1991,85488,0.0431,554,0.0026,12,0.0000,0,0.0002,1,0.0004,1,0.0020,10,0.0406,542,0.0099,112,0.0277,406,0.0029,24
Queens,1,1991,1975556,0.0811,160205,0.0161,31821,0.0002,303,0.0003,562,0.0099,19616,0.0057,11340,0.0650,128384,0.0141,27912,0.0256,50485,0.0253,49987
Rensselaer,12,1991,155039,0.0709,5500,0.0059,459,0.0001,6,0.0004,29,0.0010,74,0.0045,350,0.0650,5041,0.0180,1393,0.0446,3460,0.0024,188
Richmond,1,1991,387948,0.0511,19809,0.0081,3127,0.0001,30,0.0002,65,0.0030,1145,0.0049,1887,0.0430,16682,0.0092,3567,0.0180,6994,0.0158,6121
Rockland,16,1991,267800,0.0591,2576,0.0059,175,0.0001,1,0.0003,6,0.0015,32,0.0040,136,0.0532,2401,0.0112,485,0.0383,1733,0.0037,183
Saratoga,12,1991,184633,0.0573,220,0.0060,6,0.0000,0,0.0003,1,0.0003,0,0.0054,5,0.0513,214,0.0111,54,0.0385,150,0.0016,10
Schenectady,9,1991,150616,0.0845,6364,0.0085,642,0.0000,3,0.0005,40,0.0023,172,0.0057,427,0.0760,5722,0.0190,1434,0.0530,3995,0.0039,293
Schoharie,6,1991,32454,0.0457,205,0.0035,24,0.0000,0,0.0007,4,0.0002,2,0.0026,18,0.0422,181,0.0146,20,0.0264,158,0.0011,3
Schuyler,5,1991,18820,0.0620,583,0.0032,30,0.0000,0,0.0006,6,0.0000,0,0.0026,24,0.0588,553,0.0153,144,0.0402,378,0.0033,31
Seneca,6,1991,33768,0.0479,808,0.0032,54,0.0001,1,0.0004,6,0.0001,1,0.0027,46,0.0447,754,0.0091,153,0.0339,572,0.0017,29
Steuben,16,1991,99835,0.0703,101,0.0040,11,0.0000,0,0.0003,0,0.0001,0,0.0036,11,0.0663,90,0.0142,15,0.0500,73,0.0021,2
Suffolk,29,1991,1326777,0.1020,369,0.0060,37,0.0001,0,0.0002,0,0.0028,29,0.0030,8,0.0960,332,0.0216,52,0.0604,241,0.0141,39
Sullivan,10,1991,70347,0.0918,3229,0.0096,338,0.0001,5,0.0005,17,0.0017,61,0.0072,255,0.0822,2891,0.0314,1105,0.0483,1698,0.0025,88
Tioga,6,1991,52812,0.0483,1276,0.0063,166,0.0000,0,0.0002,4,0.0003,8,0.0058,154,0.0420,1110,0.0130,344,0.0275,727,0.0015,39
Tompkins,12,1991,95283,0.1021,80,0.0038,3,0.0000,0,0.0009,2,0.0007,0,0.0023,1,0.0982,77,0.0202,13,0.0759,64,0.0022,0
Ulster,22,1991,168869,0.0614,6,0.0064,0,0.0001,0,0.0004,0,0.0008,0,0.0052,0,0.0550,6,0.0141,0,0.0381,6,0.0028,0
Warren,5,1991,60166,0.0904,13,0.0099,0,0.0000,0,0.0006,0,0.0002,0,0.0091,0,0.0805,13,0.0144,7,0.0646,5,0.0016,1
Washington,11,1991,60120,0.0500,77,0.0070,4,0.0001,0,0.0003,0,0.0001,0,0.0064,4,0.0430,73,0.0114,13,0.0299,59,0.0017,1
Wayne,9,1991,90222,0.0686,112,0.0044,17,0.0000,0,0.0004,1,0.0004,0,0.0034,16,0.0642,95,0.0149,31,0.0471,63,0.0022,1
Westchester,47,1991,878615,0.0845,99,0.0090,16,0.0001,0,0.0003,1,0.0046,4,0.0040,11,0.0755,83,0.0145,13,0.0467,66,0.0144,4
Wyoming,8,1991,43163,0.0565,59,0.0103,6,0.0000,0,0.0001,0,0.0002,0,0.0099,6,0.0462,53,0.0142,22,0.0299,29,0.0021,2
Yates,4,1991,23087,0.0587,678,0.0049,57,0.0000,0,0.0003,4,0.0000,0,0.0046,53,0.0538,621,0.0154,178,0.0363,419,0.0021,24
Albany,19,1992,296913,0.1075,7791,0.0106,1150,0.0001,8,0.0006,77,0.0037,467,0.0062,598,0.0969,6641,0.0232,2246,0.0683,3858,0.0054,537
Allegany,10,1992,50967,0.0541,139,0.0063,11,0.0000,0,0.0004,0,0.0001,1,0.0058,10,0.0478,128,0.0166,11,0.0300,116,0.0011,1
Bronx,1,1992,1223153,0.0757,92551,0.0254,31050,0.0004,547,0.0005,566,0.0135,16465,0.0110,13472,0.0503,61501,0.0145,17699,0.0213,26070,0.0145,17732
